timeindex,FR-coal-st,FR-electricity-shortage,FR-gas-gt,FR-oil-ocgt,FR-others-non-res,FR-uranium-st,FR-hydro-ror,FR-solar-pv,FR-wind-onshore,FR-biomass-ce,FR-hydro-phs,FR-hydro-reservoir,import,FR-electricity-load,FR-electricity-excess
2030-01-02 04:00:00,0.0,0.0,0.0,0.0,4590.0,27998.2366678,5923.33941911454,0.0,18111.596267,4800.0,0.0,0.0,-13789.473684199998,47633.69866965978,0.0
2030-01-02 05:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,5933.340419992588,0.0,17247.990262,4800.0,0.0,0.0,-10757.415392859999,51930.71528912053,0.0
2030-01-02 06:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,5943.485705340166,0.0,16860.298218,4800.0,407.076842934,0.0,-7684.21052631,56338.450239957885,0.0
2030-01-02 07:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,5953.764437752953,18.2,16306.971431,4800.0,0.0,0.0,-4456.78918948,58633.94667927443,0.0
2030-01-02 08:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,5964.165779826633,273.0,15464.938757000002,4800.0,5775.22986094,0.0,-7684.21052631,60604.92387145268,0.0
2030-01-02 09:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,5974.678894156889,873.6,15348.281306,4800.0,0.0,6694.34185941,-7684.21052631,62018.491533252185,0.0
2030-01-02 10:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,5985.2929433394,1619.8000000000002,16743.640767,4800.0,6111.31435598,0.0,-7684.21052631,63587.637540003285,0.0
2030-01-02 11:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,5995.997089969848,2275.0,18997.448368,4800.0,0.0,4297.83145374,-7684.21052631,64693.86638539534,0.0
2030-01-02 12:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6006.780496643916,2438.8,20910.747177,4800.0,674.209624404,0.0,-7684.21052631,63158.12677173201,0.0
2030-01-02 13:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6017.6323259572855,2002.0,20427.163695,4800.0,111.951044481,0.0,-7684.21052631,61686.336539122385,0.0
2030-01-02 14:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6028.541740505638,1201.2,18164.879255,4800.0,0.0,2153.34406193,-7684.21052631,60675.554531123955,0.0
2030-01-02 15:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6039.497902884652,327.6,17018.039184999998,4800.0,0.0,5237.55935861,-7684.21052631,61750.28592017611,0.0
2030-01-02 16:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6050.489975690015,0.0,16807.239485,4800.0,3543.55191811,8157.2538852,-7684.21052631,67686.1247376853,0.0
2030-01-02 17:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6061.507121517406,0.0,16237.631785,4800.0,7000.0,7881.32098069,-7684.21052631,70308.04936088805,0.0
2030-01-02 18:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6072.538502962503,0.0,16147.212168999999,4800.0,7000.0,5879.01369169,-7684.21052631,68226.3538373332,0.0
2030-01-02 19:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6083.573282620992,0.0,16692.690031,4800.0,671.892916222,8157.2538852,-7684.21052631,64732.99958872672,0.0
2030-01-02 20:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6094.600623088554,0.0,16884.472907000003,4800.0,4290.63645272,0.0,-6875.27103577,61206.23894703248,0.0
2030-01-02 21:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6105.609686960873,0.0,16283.873166,4800.0,787.203943159,5824.09391127,-6521.78283168,63290.797875709126,0.0
2030-01-02 22:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6116.589636833625,0.0,16869.402971,4800.0,0.0,0.0,-1761.1661754699999,62036.62643235698,0.0
2030-01-02 23:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6127.529635302494,0.0,16374.606739,4800.0,0.0,0.0,-5155.314945244,58158.62142905421,0.0
2030-01-03 00:00:00,1305.0,0.0,0.0,0.0,4590.0,30116.8,6138.418844963164,0.0,16609.536277,4800.0,0.0,0.0,-5800.10147321,57759.65364874887,0.0
2030-01-03 01:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6149.249014641709,0.0,18281.2676,4800.0,0.0,0.0,-8274.629983425999,55662.68663121105,0.0
2030-01-03 02:00:00,0.0,0.0,0.0,0.0,4590.0,30116.8,6160.0222380857895,0.0,20406.935894,4800.0,0.0,0.0,-12486.08574581,53587.67238627376,0.0
