from,to,type,tech,carrier,value
SE-uranium-st,SE-electricity,capacity,st,uranium,7142.0
DE-coal-ccgt-0.0,DE-electricity,capacity,ccgt,coal,97.0
DE-coal-st-0.0,DE-electricity,capacity,st,coal,9063.8
DE-gas-ccgt-0.0,DE-electricity,capacity,ccgt,gas,17143.21
DE-gas-ocgt-0.0,DE-electricity,capacity,ocgt,gas,1188.5
DE-gas-st-0.0,DE-electricity,capacity,st,gas,4485.119999999999
DE-lignite-st-0.0,DE-electricity,capacity,st,lignite,9175.6
DE-oil-st-0.0,DE-electricity,capacity,st,oil,982.5
DE-waste-chp-0.0,DE-electricity,capacity,chp,waste,2797.4
AT-biomass-ce,AT-electricity,capacity,ce,biomass,1200.0
BE-biomass-ce,BE-electricity,capacity,ce,biomass,2500.0
CH-biomass-ce,CH-electricity,capacity,ce,biomass,1120.0
CZ-biomass-ce,CZ-electricity,capacity,ce,biomass,1110.0
DK-biomass-ce,DK-electricity,capacity,ce,biomass,1720.0
FR-biomass-ce,FR-electricity,capacity,ce,biomass,4800.0
IT-biomass-ce,IT-electricity,capacity,ce,biomass,10750.0
NL-biomass-ce,NL-electricity,capacity,ce,biomass,5080.0
PL-biomass-ce,PL-electricity,capacity,ce,biomass,6450.0
SE-biomass-ce,SE-electricity,capacity,ce,biomass,5340.0
DE-biomass-ce,DE-electricity,capacity,ce,biomass,6000.0
