timeindex,AT-electricity,BE-electricity,CH-electricity,CZ-electricity,DE-electricity,DK-electricity,FR-electricity,IT-electricity,NL-electricity,NO-electricity,PL-electricity,SE-electricity
2030-01-01 00:00:00,4877.58216289,1402.83911686,5300.54936194,-26.84449951800002,-13780.764019754999,-1070.651023326,-13789.473684199998,8684.47810616,1163.556806901,7495.0,-76.8841877207,-2501.4337058754
2030-01-01 01:00:00,4604.12081631,921.7469410130002,5008.00476471,0.0,-11759.974103813001,-1602.7458977610002,-13789.473684199998,8962.39547352,464.7508836740001,7495.0,-631.578947368,-1974.47368421
2030-01-01 02:00:00,4212.4736787599995,544.6887592799999,4755.57200127,0.0,-10766.905541164,-2270.95335641,-13789.473684199998,9202.20659879,-298.1388021160001,7495.0,-631.578947368,-852.0679956200001
2030-01-01 03:00:00,4076.5138618399997,-12.37701466999988,4524.06698234,0.0,-12685.503158248,-2363.2451535900004,-13789.473684199998,8802.14320712,-486.35735604,3800.0,1368.421052632,4355.0
2030-01-01 04:00:00,4107.75320499,-45.73133331000008,4518.61249568,0.0,-12333.696659347997,-2706.8992118560004,-13789.473684199998,9010.42914115,-728.1861355629999,7495.0,1368.421052632,465.5263157899999
2030-01-01 05:00:00,4178.54769476,319.3643048499998,4122.38138641,0.0,-12576.720588400996,-2983.8251408040005,-13789.473684199998,9763.72769557,-888.3383124049999,3800.0,1219.3442307120001,4355.0
2030-01-01 06:00:00,4472.32488722,37.73959729000035,3828.945373710001,0.0,-11842.887627819,-2863.8273261430004,-13789.473684199998,9701.84350542,-854.5826535760002,7495.0,696.8711657420001,465.5263157899999
2030-01-01 07:00:00,4815.827859214,-212.06055293999998,3760.59716957,0.708997162449,-8739.692298397575,-2223.6477524600004,-13789.473684199998,5227.670457267,-348.67236859900004,7495.0,1368.421052632,465.5263157899999
2030-01-01 08:00:00,5160.34806673,397.89423254799976,3675.48258718,0.0,-8917.476297782001,-1741.9847691900004,-13789.473684199998,4500.0,376.3254983940001,7495.0,358.67414560500004,465.5263157899999
2030-01-01 09:00:00,5471.6070123300005,983.15850288,3380.58123,266.274630627,-9320.411748860999,-1152.3119483300006,-13789.473684199998,2157.1481399940003,1235.3308753649999,7495.0,738.302261202,465.5263157899999
2030-01-01 10:00:00,5565.77019129,1570.16303678,3272.31556061,270.910296718,-10818.134728218,-773.5395466300006,-13789.473684199998,1318.6151993600001,2092.0988286969996,3800.0,1174.017547312,4355.0
2030-01-01 11:00:00,5271.89673044,2080.9525784810003,3446.12210669,404.781708939,-12137.678597179001,-616.6573769000006,-13789.473684199998,1135.66094033,2669.13181317,7495.0,1368.421052632,465.5263157899999
2030-01-01 12:00:00,5301.78854661,1910.246158186,3779.38602987,580.045922737,-12380.587421073,-697.4139690000002,-13789.473684199998,784.85681067,2937.66685729,7495.0,1368.421052632,465.5263157899999
2030-01-01 13:00:00,5304.62296708,1703.245999,3800.756621546,613.988690336,-13000.848652149001,-885.2762344200005,-13789.473684199998,2442.60434908,2821.0763953469996,3800.0,825.7641594920001,4355.0
2030-01-01 14:00:00,5655.4133829,1492.78509758,4075.072738152,803.832687999,-15835.301488717,-676.2167378000004,-13789.473684199998,5432.308026441,3211.1747882869995,7495.0,-631.578947368,465.5263157899999
2030-01-01 15:00:00,5605.2631579,1152.97035818,4723.75231816,924.4723359,-20371.888320665003,140.1087569299998,-13789.473684199998,9232.43529775,3809.5304045369994,7495.0,924.913198537,-2574.47368421
2030-01-01 16:00:00,5337.5887410332,1274.5919423,5208.7731557100005,1134.0514777777,-22190.527387239996,1189.0267494099999,-13789.473684199998,8185.8426955899995,4644.267765127,3800.0,1408.88274328,1315.0
2030-01-01 17:00:00,5605.2631579,812.2976095500001,5395.65792743,1199.12427695,-23396.975785379997,1354.96038193,-13789.473684199998,8594.12496894,4590.409385037,7495.0,1852.00285468,-2574.47368421
2030-01-01 18:00:00,6027.716028164999,502.08780393999996,5222.386532297,1068.7645587339998,-21146.34846746,783.8096731,-13789.473684199998,7757.93829889,3595.3235689369994,7495.0,2406.403036177,-2574.47368421
2030-01-01 19:00:00,5503.438614563001,36.66407070000014,5009.271594,839.2022082409999,-19121.95764779,149.0800746,-13789.473684199998,8961.1919857,2838.681909485,3800.0,1952.3010673,1315.0
2030-01-01 20:00:00,5033.90933128,-130.56295669300016,2284.21052632,408.44886065099996,-15877.000232740002,-274.9092285900001,-13789.473684199998,11550.0,1826.3416017069999,7495.0,747.160005942,-1974.47368421
2030-01-01 21:00:00,5175.6958155,543.1022435959999,5062.76775173,239.59932370800004,-17177.849086550996,-65.25182897000013,-13789.473684199998,8910.37063586,1182.230117187,7495.0,-478.94545409299997,187.5155533100001
2030-01-01 22:00:00,4647.1939151387,821.7682287499999,4987.51811626,120.54911213240001,-18636.512369836,231.38142009900002,-13789.473684199998,8981.85778956,939.709946944,7495.0,1368.421052632,88.71220446000007
2030-01-01 23:00:00,4392.41093789,408.6428691871997,4846.30310782,1809.85552026,-20113.9332956913,445.5725411499998,-13789.473684199998,9116.01204757,767.8243591540001,5290.25733398,1368.421052632,2688.0141554
2030-01-02 00:00:00,4104.600209117,871.8680373,4683.270308109999,3117.179604984,-21806.633020305002,522.0053497999997,-13789.473684199998,9231.42089384,934.3425233250002,7495.0,1368.421052632,294.6212334799993
2030-01-02 01:00:00,3958.568082097,1360.47988923,4647.993277681,3271.32747851,-21196.48597297,396.26231238999935,-13789.473684199998,8000.23604023,1275.620236394,7495.0,1368.421052632,414.0771190200003
