timeindex;AT-electricity-reservoir-profile;BE-electricity-reservoir-profile;CH-electricity-reservoir-profile;CZ-electricity-reservoir-profile;DE-electricity-reservoir-profile;FR-electricity-reservoir-profile;NO-electricity-reservoir-profile;PL-electricity-reservoir-profile;SE-electricity-reservoir-profile
2030-01-01T00:00:00Z;543.614431010484;59.4852268150685;2750.1921161433556;148.88251869863018;298.60650121383304;4537.948151505797;14015.686628602461;26.18668353182025;3550.2656301369866
2030-01-01T01:00:00Z;543.6001166628752;59.58863459532132;2751.6719122104614;149.18713094208374;299.1233845277095;4543.751043643266;13998.788059419512;26.20643245025491;3548.9476244039292
2030-01-01T02:00:00Z;543.5892603279287;59.69460608297495;2753.2559408648644;149.49612079639155;299.6600045045825;4549.5307621057345;13982.004378501924;26.226144426070043;3547.545152080584
2030-01-01T03:00:00Z;543.5817107621899;59.803281832825924;2754.9451562575473;149.80948205915695;300.21611222051104;4555.295186677175;13965.339113974322;26.245833604647398;3546.0650862983184
2030-01-01T04:00:00Z;543.5773167222027;59.91480239967065;2756.7405125394894;150.12720852798313;300.791458751553;4561.052197141547;13948.795793961313;26.265514131368647;3544.514300188495
2030-01-01T05:00:00Z;543.5759269645122;60.02930833830558;2758.6429638616723;150.44929400047337;301.3857951737673;4566.809673282817;13932.377946587529;26.285200151615527;3542.8996668824802
2030-01-01T06:00:00Z;543.5773902456631;60.14694020352716;2760.6534643750783;150.77573227423102;301.99887256321205;4572.575494884952;13916.089099977586;26.304905810769736;3541.2280595116385
2030-01-01T07:00:00Z;543.5815553222001;60.26783855013182;2762.7729682306867;151.1065171468592;302.63044199594566;4578.357541731912;13899.932782256088;26.324645254212964;3539.5063512073334
2030-01-01T08:00:00Z;543.5882709506674;60.39214393291603;2765.00242957948;151.44164241596127;303.2802545480265;4584.163693607663;13883.91252154767;26.34443262732694;3537.7414151009316
2030-01-01T09:00:00Z;543.5973858876107;60.519996906676226;2767.342802572438;151.78110187914046;303.94806129551307;4590.0018302961735;13868.031845976951;26.36428207549336;3535.940124323796
2030-01-01T10:00:00Z;543.6087488895738;60.65153802620884;2769.7950413605427;152.12488933400002;304.6336133144639;4595.879831581405;13852.29428366854;26.384207744093946;3534.1093520072927
2030-01-01T11:00:00Z;543.6222087131018;60.786907846310356;2772.360100094775;152.4729985781432;305.33666168093714;4601.805577247322;13836.703362747061;26.40422377851039;3532.255971282786
2030-01-01T12:00:00Z;543.6376141147392;60.92624692177717;2775.038932926116;152.8254234091733;306.0569574709915;4607.7869470778905;13821.26261133713;26.4243443241244;3530.3868552816393
2030-01-01T13:00:00Z;543.6548138510309;61.069695807405786;2777.8324940055472;153.1821576246936;306.79425176068514;4613.831820857076;13805.975557563368;26.4445835263177;3528.50887713522
2030-01-01T14:00:00Z;543.6736566785215;61.2173950579926;2780.741737484049;153.54319502230734;307.5482956260766;4619.948078368842;13790.845729550396;26.46495553047199;3526.628909974891
2030-01-01T15:00:00Z;543.6939913537557;61.36948522833408;2783.767617512602;153.90852939961778;308.3188401432242;4626.143599397154;13775.876655422824;26.48547448196897;3524.753826932017
2030-01-01T16:00:00Z;543.715666633278;61.52610687322666;2786.911088242188;154.27815455422814;309.1056363881864;4632.426263725975;13761.071863305278;26.50615452619035;3522.8905011379643
2030-01-01T17:00:00Z;543.7385312736336;61.6874005474668;2790.173103823789;154.65206428374174;309.9084354370217;4638.803951139273;13746.434881322375;26.527009808517846;3521.0458057240967
2030-01-01T18:00:00Z;543.7624340313669;61.853506805850955;2793.5546184083846;155.03025238576188;310.72698836578843;4645.2845414210105;13731.969237598738;26.54805447433316;3519.2266138217797
2030-01-01T19:00:00Z;543.7872236630222;62.02456620317553;2797.056586146956;155.41271265789166;311.56104625054485;4651.8759143551515;13717.678460258978;26.56930266901799;3517.439798562377
2030-01-01T20:00:00Z;543.8127489251448;62.200719294237025;2800.679961190485;155.79943889773457;312.4103601673497;4658.585949725662;13703.566077427713;26.590768537954073;3515.6922330772527
2030-01-01T21:00:00Z;543.8388585742792;62.38210663383185;2804.425697689953;156.1904249028937;313.27468119226126;4665.422527316508;13689.63561722957;26.612466226523093;3513.990790497774
2030-01-01T22:00:00Z;543.86540136697;62.56886877675647;2808.2947497963396;156.58566447097238;314.15376040133776;4672.393526911652;13675.890607789166;26.634409880106762;3512.3423439553035
2030-01-01T23:00:00Z;543.892226059762;62.76114627780732;2812.288071660628;156.98515139957388;315.0473488706379;4679.50682829506;13662.334577231115;26.65661364408679;3510.753766581208
2030-01-02T00:00:00Z;543.9191814091998;62.95907969178083;2816.4066174337963;157.3888794863014;315.95519767621977;4686.770311250695;13648.971053680034;26.67909166384488;3509.2319315068494
2030-01-02T01:00:00Z;543.9461632999352;63.16273094817754;2820.6502913356057;157.79682397104003;316.87704051713683;4694.189103792588;13635.800935646239;26.701855100778157;3507.7822499667286
2030-01-02T02:00:00Z;543.9732561290467;63.37184747531412;2825.01479786092;158.20888586280162;317.8125415844211;4701.757326855005;13622.81460318278;26.72490318034531;3506.4042856078727
2030-01-02T03:00:00Z;544.0005914217204;63.58609807621141;2829.494791573386;158.6249476128798;318.7613476920996;4709.466349602287;13609.999806728412;26.748232144020502;3505.096140180449
2030-01-02T04:00:00Z;544.0283007031418;63.80515155389012;2834.0849270366425;159.0448916725683;319.72310565419923;4717.307541198762;13597.344296721887;26.77183823327781;3503.8559154346176
2030-01-02T05:00:00Z;544.0565154984967;64.02867671137105;2838.779858814337;159.46860049316066;320.6974622847471;4725.272270808771;13584.83582360195;26.79571768959138;3502.6817131205426
