timeindex;AT-electricity-ror-profile;BE-electricity-ror-profile;CH-electricity-ror-profile;CZ-electricity-ror-profile;DE-electricity-ror-profile;FR-electricity-ror-profile;NO-electricity-ror-profile;PL-electricity-ror-profile;SE-electricity-ror-profile
2030-11-03T16:00:00Z;0.41143603359824943;0.2991690833904299;0.31201724771354816;0.055744798853357896;0.25563176548422895;0.211741305494851;0.4160153578689448;0.10379536124997353;0.4726846014109545
2030-11-03T17:00:00Z;0.4119247027244046;0.29940383621294814;0.31212012457469906;0.055817684605244736;0.2557083648024327;0.21200227428069307;0.41618152114845225;0.10391394153000587;0.47302625968604717
2030-11-03T18:00:00Z;0.4124350100265424;0.2996379613071589;0.3122451562732023;0.05589117331640092;0.2557917244673262;0.21228216600778924;0.41633341915163874;0.10403115469148413;0.4733590733369979
2030-11-03T19:00:00Z;0.4129683506764904;0.29987143226018076;0.3123939612558382;0.0559652372757128;0.25588215697590166;0.212582221106634;0.4164717322655176;0.10414694589150328;0.47368299981731865
2030-11-03T20:00:00Z;0.41352611984607673;0.300104222659133;0.3125681579693869;0.0560398487720668;0.2559799748251519;0.21290368000772175;0.41659714087710237;0.10426126028715832;0.4739979965805219
2030-11-03T21:00:00Z;0.41410971270712926;0.3003363060911344;0.31276936486062845;0.05611498009434932;0.2560854905120691;0.213247783141547;0.41671032537340635;0.10437404303554423;0.4743040210801193
2030-11-03T22:00:00Z;0.4147205244314757;0.30056765614330366;0.31299920037634316;0.05619060353144672;0.25619901653364563;0.21361577093860407;0.4168119661414428;0.10448523929375593;0.47460103076962296
2030-11-03T23:00:00Z;0.4153599501909441;0.3007982464027597;0.3132592829633112;0.05626669137224537;0.2563208653868742;0.21400888382938751;0.4169027435682251;0.1045947942188884;0.4748889831025453
2030-11-04T00:00:00Z;0.41602938515736226;0.3010280504566214;0.3135512310683124;0.05634321590563167;0.25645134956874677;0.21442836224439152;0.4169833380407664;0.10470265296803656;0.4751678355323978
2030-11-04T01:00:00Z;0.4167304098646977;0.3012570602158315;0.31387638430886866;0.05642016077547374;0.25659074325307685;0.21487517233214007;0.41705432727300173;0.10480886095727578;0.47543756316554214
