timeindex;AT-electricity-reservoir-profile;BE-electricity-reservoir-profile;CH-electricity-reservoir-profile;CZ-electricity-reservoir-profile;DE-electricity-reservoir-profile;DK-electricity-reservoir-profile;FR-electricity-reservoir-profile;IT-electricity-reservoir-profile;NL-electricity-reservoir-profile;NO-electricity-reservoir-profile;PL-electricity-reservoir-profile;SE-electricity-reservoir-profile
2030-12-09T14:00:00Z;1122.1160309140266;35.37570412087036;3131.3422177598086;134.11603430144493;199.55531297658777;0.0;4811.095165993864;4856.433962873537;0.0;8649.041846507265;45.233958427332105;3529.7002389343006
2030-12-09T15:00:00Z;1120.978859149916;35.40290242742743;3129.5104834290096;134.14414767592856;199.92268940132016;0.0;4810.961474963017;4851.65139149375;0.0;8635.254877719906;45.25388586582841;3526.6952712730686
2030-12-09T16:00:00Z;1119.8424569735098;35.43035981670017;3127.6699444030396;134.17251772140372;200.2713540437475;0.0;4810.780661723647;4846.840919965019;0.0;8621.529499969569;45.27244661565806;3523.6951165803225
2030-12-09T17:00:00Z;1118.7067916492574;35.45807786559141;3125.821122164324;134.2012698654862;200.59813033144937;0.0;4810.554591921375;4842.003968299528;0.0;8607.866738236946;45.289404023288945;3520.700876551156
2030-12-09T18:00:00Z;1117.5718304416098;35.486058151004;3123.964538195286;134.23052953579185;200.89984169200525;0.0;4810.285131201816;4837.141956509468;0.0;8594.267617502725;45.30452143518887;3517.7136528806627
2030-12-09T19:00:00Z;1116.4375406150166;35.51430224984075;3122.1007139783455;134.2604221599363;201.17331155299485;0.0;4809.974145210588;4832.256304607022;0.0;8580.733162747596;45.31756219782572;3514.7345472639345
2030-12-09T20:00:00Z;1115.3038894339277;35.54281173900453;3120.230170995931;134.29107316553547;201.41536334199765;0.0;4809.62349959331;4827.348432604381;0.0;8567.264398952257;45.32828965766736;3511.764661396066
2030-12-09T21:00:00Z;1114.1708441627939;35.571588195398135;3118.353430730463;134.32260798020513;201.62282048659333;0.0;4809.2350599956;4822.419760513733;0.0;8553.862351097394;45.33646716118164;3508.805096972153
2030-12-09T22:00:00Z;1113.038372066064;35.6006331959244;3116.471014664365;134.35515203156098;201.79250641436133;0.0;4808.8106920630735;4817.471708347263;0.0;8540.528044163697;45.34185805483641;3505.8569556872862
2030-12-09T23:00:00Z;1111.90644040819;35.62994831748619;3114.5834442800624;134.3888307472189;201.92124455288135;0.0;4808.352261441352;4812.505696117163;0.0;8527.262503131858;45.34422568509954;3502.921339236561
2030-12-10T00:00:00Z;1110.7750164536203;35.65953513698631;3112.6912410599766;134.42376955479455;202.0058583297329;0.0;4807.861633776048;4807.523143835616;0.0;8514.066752982566;45.34333339843884;3499.9993493150682
2030-12-10T01:00:00Z;1109.6440846200655;35.68939425109988;3110.794886272428;134.46005355445286;202.0442425295296;0.0;4807.340692131166;4802.525410121099;0.0;8500.941281903191;45.3390242355453;3497.0916495056326
2030-12-10T02:00:00Z;1108.513697938272;35.71952233559108;3108.8947003293088;134.49760653655437;202.03857736502076;0.0;4806.791389244224;4797.513608017229;0.0;8487.884430907787;45.33146001400207;3494.1971509419786
2030-12-10T03:00:00Z;1107.3839265922486;35.7499150859964;3106.9909634284104;134.53631196400892;201.9921144059899;0.0;4806.21569527113;4792.488789173909;0.0;8474.894004217087;45.32088224561544;3491.3143266455636
2030-12-10T04:00:00Z;1106.2548407659992;35.7805681978523;3105.0839557675217;134.57605329972608;201.90810522222034;0.0;4805.615580367788;4787.452005241041;0.0;8461.967806051825;45.30753244219165;3488.441649637843
2030-12-10T05:00:00Z;1105.1265106435337;35.81147736669523;3103.1739575444317;134.6167140066156;201.78980138349556;0.0;4804.993014690101;4782.404307868529;0.0;8449.103640632731;45.29165211553698;3485.577592940273
2030-12-10T06:00:00Z;1103.999006408858;35.84263828806169;3101.261248956933;134.65817754758712;201.64045445959894;0.0;4804.349968393974;4777.346748706281;0.0;8436.299312180543;45.27348277745769;3482.720629574308
2030-12-10T07:00:00Z;1102.872398245978;35.87404665748813;3099.3461102028114;134.7003273855503;201.4633160203138;0.0;4803.688411635309;4772.280379404193;0.0;8423.552624915987;45.253265939760034;3479.869232561404
2030-12-10T08:00:00Z;1101.7467563389012;35.90569817051104;3097.4288214798576;134.7430469834149;201.26163763542354;0.0;4803.010314570014;4767.206251612171;0.0;8410.861383059797;45.231243114250276;3477.0218749230153
2030-12-10T09:00:00Z;1100.622150871635;35.93758852266686;3095.5096629858626;134.7862198040906;201.03867087471173;0.0;4802.317647353992;4762.125416980121;0.0;8398.223390832705;45.207655812734686;3474.1770296805994
2030-12-10T10:00:00Z;1099.4986520281864;35.969713409492066;3093.588914918614;134.82972931048695;200.79766730796166;0.0;4801.612380143146;4757.038927157946;0.0;8385.636452455446;45.18274554701952;3471.333169855611
2030-12-10T11:00:00Z;1098.3763299925613;36.00206852652314;3091.666857475902;134.87345896551378;200.54187850495657;0.0;4800.896483093383;4751.947833795547;0.0;8373.098372148748;45.15675382891104;3468.488768469503
2030-12-10T12:00:00Z;1097.255254948767;36.034649569296526;3089.7437708555162;134.91729223208068;200.27455603548012;0.0;4800.171926360605;4746.853188542828;0.0;8360.606954133347;45.129922170215515;3465.642298543735
2030-12-10T13:00:00Z;1096.1354970808106;36.06745223334872;3087.8199352552465;134.96111257309744;199.99895146931559;0.0;4799.440680100717;4741.756043049695;0.0;8348.160002629975;45.10249208273921;3462.792233099761
2030-12-10T14:00:00Z;1095.0171265726992;36.100472214216175;3085.8956308728825;135.0048034514736;199.7183163762464;0.0;4798.704714469624;4736.657448966048;0.0;8335.755321859364;45.074705078288396;3459.9370451590357
2030-12-10T15:00:00Z;1093.9002136084391;36.133705207435355;3083.971137906213;135.04824833011898;199.43590232605592;0.0;4797.9659996232285;4731.558457941792;0.0;8323.390716042246;45.0468026686693;3457.075207743014
2030-12-10T16:00:00Z;1092.7848283720373;36.167146908542755;3082.046736553028;135.09133067194318;199.15496088852757;0.0;4797.226505717436;4726.46012162683;0.0;8311.063989399348;45.01902636568821;3454.205193873152
2030-12-10T17:00:00Z;1091.6710410475014;36.20079301307483;3080.1227070111177;135.1339339398559;198.8787436334448;0.0;4796.488202908152;4721.363491671066;0.0;8298.772946151415;44.99161768115139;3451.325476570908
2030-12-10T18:00:00Z;1090.5589218188377;36.234639216568034;3078.1993294782706;135.17594159676685;198.6105021305909;0.0;4795.75306135128;4716.269619724402;0.0;8286.51539051917;44.964818126865104;3448.4345288577338
2030-12-10T19:00:00Z;1089.4485408700527;36.26868121455884;3076.276884152276;135.2172371055856;198.35348794974934;0.0;4795.023051202721;4711.1795574367425;0.0;8274.289126723343;44.938869214635595;3445.5308237550853
2030-12-10T20:00:00Z;1088.3399683851542;36.30291470258373;3074.3556512309247;135.25770392922203;198.11095266070345;0.0;4794.300142618385;4706.094356457991;0.0;8262.091958984673;44.91401245626915;3442.6128342844195
2030-12-10T21:00:00Z;1087.2332745481488;36.33733537617916;3072.4359109120055;135.2972255305857;197.88614783323683;0.0;4793.586305754174;4701.015068438053;0.0;8249.92169152389;44.89048936357202;3439.6790334671914
2030-12-10T22:00:00Z;1086.128529543043;36.37193893088161;3070.517943393308;135.33568537258628;197.68232503713264;0.0;4792.883510765991;4695.942745026829;0.0;8237.776128561729;44.86854144835047;3436.7278943248557
2030-12-10T23:00:00Z;1085.0258035538443;36.40672106222756;3068.6020288726213;135.37296691813353;197.5027358421744;0.0;4792.193727809741;4690.878437874223;0.0;8225.653074318916;44.84841022241077;3433.7578898788697
2030-12-11T00:00:00Z;1083.9251667645585;36.44167746575343;3066.6884475477364;135.408953630137;197.35063181814544;0.0;4791.518927041328;4685.823198630138;0.0;8213.550333016188;44.83033719755915;3430.767493150685
