timeindex;AT-onshore-profile;AT-pv-profile;BE-offshore-profile;BE-onshore-profile;BE-pv-profile;CH-onshore-profile;CH-pv-profile;CZ-onshore-profile;CZ-pv-profile;DE-coal-chp-profile;DE-gas-chp-profile;DE-lignite-chp-profile;DE-offshore-profile;DE-oil-chp-profile;DE-onshore-profile;DE-other-non-res-chp-profile;DE-pv-profile;DE-waste-chp-profile;DK-offshore-profile;DK-onshore-profile;DK-pv-profile;FR-onshore-profile;FR-pv-profile;IT-onshore-profile;IT-pv-profile;NL-offshore-profile;NL-onshore-profile;NL-pv-profile;NO-offshore-profile;NO-onshore-profile;NO-pv-profile;PL-onshore-profile;PL-pv-profile;SE-offshore-profile;SE-onshore-profile;SE-pv-profile
2030-01-01T11:00:00Z;0.064897;0.198;0.6530229999999999;0.48944899999999997;0.041;0.43328900000000004;0.255;0.380626;0.065;0.57568287;0.57568287;0.57568287;0.47143100000000004;0.57568287;0.371946;0.57568287;0.051;0.57568287;0.5159560000000001;0.43744700000000003;0.066;0.49958400000000003;0.187;0.075653;0.475;0.559254;0.462354;0.018000000000000002;0.6033850000000001;0.46438500000000005;0.012;0.299722;0.221;0.752201;0.458329;0.006999999999999999
2030-01-01T12:00:00Z;0.062340999999999994;0.181;0.695066;0.498645;0.052000000000000005;0.402989;0.247;0.397498;0.049;0.56025746;0.56025746;0.56025746;0.452133;0.56025746;0.361605;0.56025746;0.044;0.56025746;0.5118020000000001;0.44452600000000003;0.052000000000000005;0.538445;0.188;0.08089299999999999;0.434;0.5684670000000001;0.436968;0.026;0.63743;0.474567;0.011;0.32553699999999997;0.146;0.768245;0.47542299999999993;0.002
2030-01-01T13:00:00Z;0.07042899999999999;0.127;0.6911390000000001;0.512568;0.038;0.38703200000000004;0.195;0.39764299999999997;0.023;0.5605863600000001;0.5605863600000001;0.5605863600000001;0.48269700000000004;0.5605863600000001;0.356033;0.5605863600000001;0.031;0.5605863600000001;0.516766;0.439974;0.028;0.560322;0.157;0.081362;0.341;0.562789;0.456697;0.022;0.622501;0.462392;0.003;0.346393;0.054000000000000006;0.760273;0.448164;0.0
2030-01-01T14:00:00Z;0.08187;0.044;0.651139;0.546638;0.011;0.386676;0.109;0.399306;0.003;0.5675898599999999;0.5675898599999999;0.5675898599999999;0.473249;0.5675898599999999;0.34818000000000005;0.5675898599999999;0.011;0.5675898599999999;0.514355;0.435003;0.002;0.574565;0.096;0.074934;0.19;0.539505;0.428573;0.006;0.594121;0.44573999999999997;0.0;0.362923;0.001;0.752024;0.444362;0.0
2030-01-01T15:00:00Z;0.103378;0.0;0.708086;0.612427;0.0;0.409314;0.011;0.451995;0.0;0.58481433;0.58481433;0.58481433;0.459739;0.58481433;0.360958;0.58481433;0.0;0.58481433;0.482134;0.40539000000000003;0.0;0.609326;0.026;0.06377100000000001;0.021;0.574818;0.433191;0.0;0.5986199999999999;0.442701;0.0;0.365906;0.0;0.750579;0.461848;0.0
2030-01-01T16:00:00Z;0.128179;0.0;0.748689;0.67596;0.0;0.420712;0.0;0.47195299999999996;0.0;0.61532912;0.61532912;0.61532912;0.478088;0.61532912;0.36667;0.61532912;0.0;0.61532912;0.46737799999999996;0.353557;0.0;0.63356;0.0;0.058885;0.0;0.606917;0.47338;0.0;0.5877680000000001;0.447579;0.0;0.374278;0.0;0.750405;0.447508;0.0
2030-01-01T17:00:00Z;0.153883;0.0;0.795237;0.7678689999999999;0.0;0.435072;0.0;0.49814200000000003;0.0;0.6570345599999999;0.6570345599999999;0.6570345599999999;0.475371;0.6570345599999999;0.383204;0.6570345599999999;0.0;0.6570345599999999;0.472067;0.339223;0.0;0.647753;0.0;0.05703099999999999;0.0;0.6514840000000001;0.510355;0.0;0.601422;0.427543;0.0;0.35382800000000003;0.0;0.669864;0.449175;0.0
2030-01-01T18:00:00Z;0.172551;0.0;0.791265;0.802823;0.0;0.40713299999999997;0.0;0.5010939999999999;0.0;0.68373549;0.68373549;0.68373549;0.46395;0.68373549;0.403918;0.68373549;0.0;0.68373549;0.469304;0.35434;0.0;0.6655310000000001;0.0;0.061532;0.0;0.647686;0.601549;0.0;0.646985;0.424263;0.0;0.323762;0.0;0.614942;0.43682;0.0
2030-01-01T19:00:00Z;0.175894;0.0;0.788791;0.83985;0.0;0.334388;0.0;0.47677700000000006;0.0;0.6526238500000001;0.6526238500000001;0.6526238500000001;0.427755;0.6526238500000001;0.43878100000000003;0.6526238500000001;0.0;0.6526238500000001;0.466739;0.37785;0.0;0.6677890000000001;0.0;0.06894299999999999;0.0;0.630031;0.6426930000000001;0.0;0.639133;0.414229;0.0;0.31893499999999997;0.0;0.618421;0.44155;0.0
2030-01-01T20:00:00Z;0.184732;0.0;0.732578;0.8267389999999999;0.0;0.33836700000000003;0.0;0.45631700000000003;0.0;0.6041571;0.6041571;0.6041571;0.383262;0.6041571;0.467625;0.6041571;0.0;0.6041571;0.46614099999999997;0.39115500000000003;0.0;0.64957;0.0;0.08053099999999999;0.0;0.57898;0.683226;0.0;0.650673;0.407763;0.0;0.315752;0.0;0.641896;0.436303;0.0
2030-01-01T21:00:00Z;0.181455;0.0;0.652105;0.77774;0.0;0.390464;0.0;0.441355;0.0;0.5024763999999999;0.5024763999999999;0.5024763999999999;0.34843;0.5024763999999999;0.504961;0.5024763999999999;0.0;0.5024763999999999;0.41330200000000006;0.345605;0.0;0.621067;0.0;0.091572;0.0;0.506039;0.6683180000000001;0.0;0.6212;0.402397;0.0;0.30997199999999997;0.0;0.652724;0.444381;0.0
2030-01-01T22:00:00Z;0.163536;0.0;0.661396;0.7417630000000001;0.0;0.419166;0.0;0.38868800000000003;0.0;0.34666244;0.34666244;0.34666244;0.347485;0.34666244;0.5492199999999999;0.34666244;0.0;0.34666244;0.31882;0.29230700000000004;0.0;0.584583;0.0;0.101589;0.0;0.512704;0.596392;0.0;0.594141;0.40278800000000003;0.0;0.304218;0.0;0.642116;0.44783900000000004;0.0
2030-01-01T23:00:00Z;0.139988;0.0;0.662377;0.698241;0.0;0.43723599999999996;0.0;0.391509;0.0;0.33159905;0.33159905;0.33159905;0.403675;0.33159905;0.5966130000000001;0.33159905;0.0;0.33159905;0.244009;0.254563;0.0;0.53752;0.0;0.10973499999999999;0.0;0.545833;0.513547;0.0;0.561735;0.394445;0.0;0.312514;0.0;0.606054;0.42544099999999996;0.0
2030-01-02T00:00:00Z;0.127357;0.0;0.541898;0.568732;0.0;0.44977799999999996;0.0;0.39764;0.0;0.397348;0.397348;0.397348;0.45632700000000004;0.397348;0.615269;0.397348;0.0;0.397348;0.216621;0.23486100000000001;0.0;0.492975;0.0;0.11800899999999999;0.0;0.488828;0.431953;0.0;0.524886;0.377488;0.0;0.34545;0.0;0.5523170000000001;0.40195;0.0
2030-01-02T01:00:00Z;0.12428299999999999;0.0;0.471236;0.454138;0.0;0.489321;0.0;0.39617600000000003;0.0;0.4081317800000001;0.4081317800000001;0.4081317800000001;0.48282600000000003;0.4081317800000001;0.6000340000000001;0.4081317800000001;0.0;0.4081317800000001;0.24866799999999997;0.23768699999999998;0.0;0.45209399999999994;0.0;0.127897;0.0;0.42753100000000005;0.36490100000000003;0.0;0.496975;0.369792;0.0;0.397789;0.0;0.510333;0.389015;0.0
2030-01-02T02:00:00Z;0.125945;0.0;0.408304;0.36164;0.0;0.52048;0.0;0.41920100000000005;0.0;0.42544687;0.42544687;0.42544687;0.477921;0.42544687;0.565298;0.42544687;0.0;0.42544687;0.328817;0.265735;0.0;0.414804;0.0;0.140148;0.0;0.378967;0.301273;0.0;0.48458;0.37643000000000004;0.0;0.454078;0.0;0.478425;0.39671300000000004;0.0
2030-01-02T03:00:00Z;0.123149;0.0;0.382886;0.32631;0.0;0.623861;0.0;0.429066;0.0;0.45626756;0.45626756;0.45626756;0.50154;0.45626756;0.521904;0.45626756;0.0;0.45626756;0.47150299999999995;0.330058;0.0;0.406389;0.0;0.152348;0.0;0.364591;0.26873600000000003;0.0;0.494238;0.382422;0.0;0.513794;0.0;0.43875699999999995;0.39567399999999997;0.0
2030-01-02T04:00:00Z;0.12733;0.0;0.39473600000000003;0.30859000000000003;0.0;0.640564;0.0;0.42519700000000005;0.0;0.53689728;0.53689728;0.53689728;0.516364;0.53689728;0.47412200000000004;0.53689728;0.0;0.53689728;0.559546;0.399527;0.0;0.403817;0.0;0.166751;0.0;0.374023;0.242038;0.0;0.48811800000000005;0.386844;0.0;0.592717;0.0;0.430701;0.381261;0.0
